student_id,student_name,department,year,section,subject,date,period,status
STU0001,Sanjay Chandran,IT,4,B,Software Engineering,2026-06-17,8,Present
STU0001,Sanjay Chandran,IT,4,B,Cloud Computing,2026-02-02,8,Late
STU0001,Sanjay Chandran,IT,4,B,Software Engineering,2026-01-11,4,Present
STU0001,Sanjay Chandran,IT,4,B,Cloud Computing,2026-03-16,7,Present
STU0001,Sanjay Chandran,IT,4,B,Cloud Computing,2026-03-08,7,Present
STU0001,Sanjay Chandran,IT,4,B,Cloud Computing,2026-03-03,8,Absent
STU0001,Sanjay Chandran,IT,4,B,Cloud Computing,2026-02-09,8,Present
STU0001,Sanjay Chandran,IT,4,B,Software Engineering,2026-01-31,4,On Duty
STU0001,Sanjay Chandran,IT,4,B,Software Engineering,2026-06-27,5,Present
STU0001,Sanjay Chandran,IT,4,B,Web Technology,2026-05-24,6,Present
STU0001,Sanjay Chandran,IT,4,B,Cloud Computing,2026-01-27,6,Present
STU0002,Shalini Krishnan,CIVIL,1,A,Geotechnical Engg,2026-06-05,3,Present
STU0002,Shalini Krishnan,CIVIL,1,A,Surveying,2026-04-23,8,Late
STU0002,Shalini Krishnan,CIVIL,1,A,Geotechnical Engg,2026-01-13,4,Present
STU0002,Shalini Krishnan,CIVIL,1,A,Geotechnical Engg,2026-01-12,1,Present
STU0002,Shalini Krishnan,CIVIL,1,A,Surveying,2026-01-28,6,Present
STU0002,Shalini Krishnan,CIVIL,1,A,Geotechnical Engg,2026-03-01,8,Present
STU0002,Shalini Krishnan,CIVIL,1,A,Surveying,2026-03-05,6,Absent
STU0002,Shalini Krishnan,CIVIL,1,A,Structural Analysis,2026-05-14,7,Present
STU0002,Shalini Krishnan,CIVIL,1,A,Geotechnical Engg,2026-06-08,3,Present
STU0002,Shalini Krishnan,CIVIL,1,A,Structural Analysis,2026-01-11,5,Absent
STU0002,Shalini Krishnan,CIVIL,1,A,Structural Analysis,2026-05-28,6,Present
STU0002,Shalini Krishnan,CIVIL,1,A,Geotechnical Engg,2026-02-24,5,Present
STU0002,Shalini Krishnan,CIVIL,1,A,Geotechnical Engg,2026-06-20,1,Present
STU0003,Bala Sekar,ECE,1,B,Signals & Systems,2026-05-24,5,Present
STU0003,Bala Sekar,ECE,1,B,Digital Electronics,2026-04-22,2,Late
STU0003,Bala Sekar,ECE,1,B,VLSI Design,2026-03-02,6,Present
STU0003,Bala Sekar,ECE,1,B,Signals & Systems,2026-04-29,3,Present
STU0003,Bala Sekar,ECE,1,B,Digital Electronics,2026-06-04,6,Present
STU0003,Bala Sekar,ECE,1,B,Signals & Systems,2026-03-17,4,Present
STU0003,Bala Sekar,ECE,1,B,VLSI Design,2026-01-06,8,Late
STU0003,Bala Sekar,ECE,1,B,Digital Electronics,2026-02-14,6,Present
STU0003,Bala Sekar,ECE,1,B,Digital Electronics,2026-04-23,1,Present
STU0004,Divya Venkatesan,CIVIL,1,B,Geotechnical Engg,2026-04-02,6,Absent
STU0004,Divya Venkatesan,CIVIL,1,B,Structural Analysis,2026-03-17,3,Absent
STU0004,Divya Venkatesan,CIVIL,1,B,Surveying,2026-02-13,3,Present
STU0004,Divya Venkatesan,CIVIL,1,B,Geotechnical Engg,2026-03-01,5,Late
STU0004,Divya Venkatesan,CIVIL,1,B,Surveying,2026-04-01,7,Present
STU0004,Divya Venkatesan,CIVIL,1,B,Geotechnical Engg,2026-01-31,7,Absent
STU0004,Divya Venkatesan,CIVIL,1,B,Structural Analysis,2026-01-28,7,Present
STU0004,Divya Venkatesan,CIVIL,1,B,Geotechnical Engg,2026-04-12,5,Present
STU0004,Divya Venkatesan,CIVIL,1,B,Geotechnical Engg,2026-01-29,8,Late
STU0004,Divya Venkatesan,CIVIL,1,B,Structural Analysis,2026-04-06,2,Present
STU0004,Divya Venkatesan,CIVIL,1,B,Structural Analysis,2026-04-03,8,Present
STU0004,Divya Venkatesan,CIVIL,1,B,Surveying,2026-06-08,6,Present
STU0004,Divya Venkatesan,CIVIL,1,B,Geotechnical Engg,2026-03-13,8,Present
STU0005,Anitha Iyer,CIVIL,2,C,Structural Analysis,2026-01-16,5,Absent
STU0005,Anitha Iyer,CIVIL,2,C,Geotechnical Engg,2026-05-02,5,Present
STU0005,Anitha Iyer,CIVIL,2,C,Surveying,2026-05-22,4,Absent
STU0005,Anitha Iyer,CIVIL,2,C,Structural Analysis,2026-02-05,4,Late
STU0005,Anitha Iyer,CIVIL,2,C,Geotechnical Engg,2026-04-11,6,Present
STU0005,Anitha Iyer,CIVIL,2,C,Structural Analysis,2026-01-25,1,Present
STU0005,Anitha Iyer,CIVIL,2,C,Unknown,2026-05-26,6,Late
STU0005,Anitha Iyer,CIVIL,2,C,Geotechnical Engg,2026-03-21,2,Present
STU0005,Anitha Iyer,CIVIL,2,C,Geotechnical Engg,2026-06-14,3,Present
STU0005,Anitha Iyer,CIVIL,2,C,Structural Analysis,2026-06-12,7,Present
STU0005,Anitha Iyer,CIVIL,2,C,Structural Analysis,2026-04-07,4,Present
STU0005,Anitha Iyer,CIVIL,2,C,Structural Analysis,2026-06-01,8,Absent
STU0006,Anu Pillai,ECE,2,B,VLSI Design,2026-02-23,-1,Absent
STU0006,Anu Pillai,ECE,2,B,VLSI Design,2026-01-22,3,Present
STU0006,Anu Pillai,ECE,2,B,VLSI Design,2026-01-16,4,Present
STU0006,Anu Pillai,ECE,2,B,VLSI Design,2026-06-23,6,Present
STU0006,Anu Pillai,ECE,2,B,VLSI Design,2026-03-04,5,Absent
STU0006,Anu Pillai,ECE,2,B,Unknown,2026-03-20,5,Present
STU0006,Anu Pillai,ECE,2,B,VLSI Design,2026-01-25,3,Absent
STU0006,Anu Pillai,ECE,2,B,VLSI Design,2026-03-05,4,Present
STU0006,Anu Pillai,ECE,2,B,Signals & Systems,2026-01-30,2,Absent
STU0007,Naveen Nair,MECH,4,C,Thermodynamics,2026-04-12,8,Present
STU0007,Naveen Nair,MECH,4,C,Thermodynamics,2026-03-17,8,Present
STU0007,Naveen Nair,MECH,4,C,Fluid Mechanics,2026-05-01,7,Absent
STU0007,Naveen Nair,MECH,4,C,Thermodynamics,2026-06-16,3,Present
STU0007,Naveen Nair,MECH,4,C,Machine Design,2026-04-08,3,Present
STU0007,Naveen Nair,MECH,4,C,Fluid Mechanics,2026-02-15,1,Present
STU0007,Naveen Nair,MECH,4,C,Machine Design,2026-04-09,7,Present
STU0008,Swathi Rao,CIVIL,2,C,Geotechnical Engg,2026-04-05,1,Present
STU0008,Swathi Rao,CIVIL,2,C,Surveying,2026-02-27,8,Present
STU0008,Swathi Rao,CIVIL,2,C,Structural Analysis,2026-06-25,6,Absent
STU0008,Swathi Rao,CIVIL,2,C,Structural Analysis,2026-03-14,1,Present
STU0009,Ganesh Balan,EEE,1,C,Electrical Machines,2026-06-28,4,Absent
STU0009,Ganesh Balan,EEE,1,C,Control Systems,2026-06-19,3,Absent
